amount,currency,payer_account_number,beneficiary_account_number,payer_country_code,beneficiary_country_code,transaction_timestamp
404.06,SEK,FR79QILI1567933410166687,FR07UAWF7659180339,FR,FR,2025-05-30T01:52:22Z
6448.80,EUR,NO69SVBF03926142939685,LU49YXEZ8501631599,NO,LU,2025-08-06T18:31:54Z
988.71,HUF,CZ34ZOPH86629619431142,US48WZUE5511047541212678,CZ,US,2026-05-08T12:54:30Z
273.57,AUD,DK45RCTT60466183982622,SE34JIPE2646471543,DK,SE,2025-03-11T14:36:58Z
2398.14,DKK,HU13EJAM96575692459375,NO22MKJX9356465193982807,HU,NO,2025-12-22T15:09:34Z
3995.83,NOK,BG52VPEU34266179796886,PT69BZLW1352909656,BG,PT,2025-02-23T17:12:39Z
749.50,USD,FR95QRSW756798250714,NL53CDXE45738757177514,FR,NL,2026-02-01T15:41:42Z
58.11,USD,BE82DVZF828258673622,BG81VNMA796603341918,BE,BG,2025-09-24T11:26:11Z
549.73,CAD,IT33VPQU96969155792499,GB10VEKD412528669296,IT,GB,2025-03-30T12:16:28Z
2524.08,NOK,CA71FPJE579050723688,IT83PNVP7721903404384279,CA,IT,2025-05-15T13:19:50Z
301.37,SEK,NO34YRLR7836134074,DK44CODY395962923309,NO,DK,2025-03-30T16:57:58Z
2272.16,JPY,GB41WJJS81260422325367,DK18SUIU6711684577590175,GB,DK,2025-05-11T18:46:53Z
615.21,AUD,DE27PIKJ89297500170127,DK58ANGW424154152064,DE,DK,2025-11-30T17:07:40Z
2665.05,AUD,BG00GPCE870051627136,IE11XZDD54262218909275,BG,IE,2025-03-15T22:21:08Z
411.34,CZK,PT78VOGC2196565234,HU82CHRT04389836403761,PT,HU,2025-11-16T18:49:43Z
2254.07,PLN,IE01LKEM5827109104300684,NO80WQYN6188924141832856,IE,NO,2026-02-15T07:58:26Z
4498.36,HUF,PL39WNXH3161799042,HU15AWEW2758842524,PL,HU,2025-02-21T08:28:28Z
4115.06,CAD,FR67CIWS7785079252,NL32YDSV3800030756,FR,NL,2025-07-31T06:05:08Z
8069.67,BGN,ES70ZWXU3536541951802380,IT51COJY51870534949375,ES,IT,2025-01-28T11:13:29Z
3740.00,HUF,PL97ZHEA0385050641383670,NO18WICB865719182619,PL,NO,2026-03-01T12:36:09Z
2716.06,AUD,PL30JIKZ5574313291212775,BE52DRLY747411249035,PL,BE,2025-04-12T12:34:44Z
714.27,CZK,ES50QBVJ20678831712100,DE99HEGM19941013721510,ES,DE,2025-10-04T07:31:32Z
6447.89,GBP,AU92MPAM2532447209993476,BE70PBCI2638380657875985,AU,BE,2025-12-03T10:37:12Z
67.02,GBP,US28AZYI7859321334,LU68ZXBY965223955905,US,LU,2026-04-09T19:03:20Z
2071.18,GBP,PL63RJFP1039308705,PL78GZEK500292185156,PL,PL,2025-05-27T04:55:47Z
899.00,CAD,PL20XNZU5289539264422096,FR98SBFT93917251355215,PL,FR,2025-04-16T23:38:36Z
589.31,JPY,AU44IZDX0676267658,NL48DPZS271040541152,AU,NL,2025-02-22T15:47:10Z
195.91,CZK,US43TTPW6296201533,IT52WRXX44310698720506,US,IT,2025-03-14T07:35:49Z
2712.92,RON,DE61GDAG417146774186,AT23LMLF0477434902115869,DE,AT,2026-04-12T04:49:42Z
4594.94,EUR,IE53RVPS741608989921,DK96OFFG206163294511,IE,DK,2026-02-10T21:38:22Z
2008.71,AUD,US66OAZW1622999119148564,DK49UPST0246299606530745,US,DK,2025-08-03T12:45:23Z
3946.48,RON,NL35PWVD247546913736,CH94PYQL8214862890,NL,CH,2025-08-30T12:30:54Z
4474.35,BGN,IT31BOBL457861035797,PT22PSRL24140602933334,IT,PT,2025-02-14T18:15:17Z
51.64,SEK,HU60EUFT3494466574,CA27OJVQ9108589944171545,HU,CA,2025-01-07T21:52:13Z
3105.13,PLN,LU24EQYH9652074466,LU49XBSW538758428241,LU,LU,2025-08-21T01:52:12Z
749.21,CZK,NO97FVKU3534655494,ES59DPBU7381684602,NO,ES,2026-03-11T05:06:19Z
1316.66,CAD,ES58EKWF7525007432,PT73YFPZ2966667600,ES,PT,2026-03-19T06:27:07Z
1168.43,CZK,DK41YQGA3354216894,PT21CBJJ8985625753260332,DK,PT,2025-01-11T22:24:59Z
1757.14,DKK,PT46WUZB4890901001676184,NL60WEGW4618499261,PT,NL,2025-04-06T15:54:20Z
831.68,USD,SE63GTGY83564208737530,CZ01VCDS2181143744701204,SE,CZ,2025-03-24T12:53:56Z
1388.79,CAD,GB12YBAE557941552166,RO58IMWP2120216979729659,GB,RO,2025-04-01T00:33:08Z
4559.69,BGN,NL61PDNO1450899358,RO66WWTD3756289002877217,NL,RO,2025-04-12T11:35:30Z
8779.51,CAD,CH64HRUM3177971775170166,IE04RRAC88375503758997,CH,IE,2025-02-09T02:36:19Z
3147.19,CAD,BG12YVHA54885102726149,RO25GDMG3516091779827080,BG,RO,2025-03-30T13:32:58Z
2200.42,RON,DK99FWSF169958669346,CA43JOZE698485833394,DK,CA,2026-01-30T20:00:43Z
2790.70,BGN,RO64RWUK5879968460,GB66DAME0342442043,RO,GB,2025-05-19T02:40:08Z
4206.37,CAD,DK78VXRH3840666580043973,BE81WWUL347212281606,DK,BE,2025-03-21T14:21:56Z
349.35,JPY,LU32AKOW025909479851,DK90KQHF8268861533,LU,DK,2026-03-30T14:17:20Z
1119.84,CAD,RO96TQPR1573993056,CH14MIRX08588770435811,RO,CH,2025-06-19T16:06:54Z
19.39,SEK,IT26VUYG1386120750110248,DK09SHIN7665061809190158,IT,DK,2025-02-20T20:28:59Z
2895.94,HUF,FR11JYOM0728326842450882,AT15BAST8814353682223943,FR,AT,2026-04-17T03:12:24Z
4020.35,PLN,FR96ROUR4141397552,IT85UHDJ3577594929,FR,IT,2025-02-12T05:52:17Z
951.71,HUF,PL21AKHZ645257775478,GB13FUTC28341108099693,PL,GB,2025-11-29T16:13:42Z
1961.25,JPY,BE60UYEL3942788165803928,DK17OFFS750373145303,BE,DK,2026-02-24T04:18:38Z
1586.66,AUD,SE05BUKD49892665918463,GB66MLLP9082723184322259,SE,GB,2025-12-20T03:10:05Z
655.54,PLN,BG92DPVP3926030299228092,FR07FIFQ9904137977236929,BG,FR,2025-09-14T11:50:08Z
1788.48,PLN,IT92VKOT3662103886,CZ19TDFP8811729806,IT,CZ,2025-05-11T06:33:32Z
5196.09,CAD,SE54HZPZ5991624731498643,CA00WXZA8063565126,SE,CA,2026-02-16T12:29:44Z
758.17,JPY,HU54SLTI3688725887449562,PL84DXHO138658902601,HU,PL,2026-02-21T09:43:10Z
2293.26,BGN,ES08IHLC6698490277,NO01GVZQ30988392053021,ES,NO,2025-03-10T11:03:41Z
2770.10,CAD,LU75GQAX1848955439,US24OMSA26818184518489,LU,US,2025-11-11T22:09:13Z
8458.57,NOK,LU61YHYK7907141633565880,BG89IHJC5182755394237333,LU,BG,2026-03-14T10:13:25Z
567.52,CHF,LU79LEYD1790807595,PT63SIPF63920867808562,LU,PT,2025-07-13T22:39:36Z
1826.59,CZK,AU88AAVG9155942843479552,FR63NGNW56472929314386,AU,FR,2025-09-03T04:09:57Z
4025.06,GBP,US60ZAFN2885744890612034,PT60UDOX45588450615939,US,PT,2025-04-27T03:46:40Z
1933.85,PLN,PL45KVQP1694722569961125,HU29KKUJ96475987622023,PL,HU,2025-08-10T01:29:28Z
3016.75,CZK,RO26FMDD7800681149,LU19CUMJ347228200557,RO,LU,2025-03-04T04:30:53Z
796.06,BGN,AU17WRFS9688457831745642,DK38AAQY547807740649,AU,DK,2025-12-12T12:30:38Z
1170.59,SEK,IE71NMHF6341638944846312,NL17JDUO4973502080214427,IE,NL,2025-11-16T19:18:46Z
409.31,USD,NL27KNJZ5705120461872346,IE01DYWH7303718376452088,NL,IE,2026-01-19T08:59:23Z
2544.87,NOK,FR46BVGD650249163009,LU88PWTE13271950052812,FR,LU,2025-06-04T08:28:37Z
9999.82,CAD,NO56XGAW5240778487392855,IE93OITR182744857086,NO,IE,2025-09-27T18:28:18Z
4860.29,DKK,IT30KXCV3878294565118102,NL22BGDP109678994053,IT,NL,2026-04-27T17:18:57Z
33.93,USD,CZ83PCOZ5865094801,BG38CGQD3863383928,CZ,BG,2025-06-12T03:09:36Z
279.77,CZK,DK73LVOW1228685289755855,CA52YUNX93983684577600,DK,CA,2026-05-12T00:49:11Z
1823.50,EUR,AT00JHGK4888992107,CZ45EEIL344196931572,AT,CZ,2025-08-23T10:44:10Z
2147.43,CZK,NO76UJBX1055661390604805,BG69SEKQ206799813646,NO,BG,2025-03-16T01:42:53Z
216.38,CAD,ES95BRMI6862278376,ES83SGRT314659116655,ES,ES,2026-03-20T20:25:28Z
2253.75,CAD,PT98JFLT9270335211039240,CH43WZDJ7053833884879206,PT,CH,2025-01-19T19:14:52Z
112.14,SEK,PL07JGZW07016451046368,RO90DKPT2387800384,PL,RO,2025-05-13T06:59:18Z
3411.26,AUD,CH44VLLU38404608432562,NO11XMQV639264957823,CH,NO,2025-01-15T06:28:59Z
1949.69,DKK,HU17JWWQ629251881252,ES93AYKN4742312209949993,HU,ES,2025-06-07T03:20:09Z
2907.90,CHF,CZ10WYPE5267722330604633,IE96GCFO5736609656999880,CZ,IE,2025-10-07T01:07:00Z
1527.16,NOK,SE31QRMX8680347644,FR59FNJT8277181298,SE,FR,2025-02-02T22:41:23Z
977.91,AUD,ES22OSWG1452111751868926,US70MBYF92222064474212,ES,US,2025-01-20T08:23:43Z
3625.64,DKK,PT58PPRZ9733977671,NL76TAHR98302205020994,PT,NL,2025-01-10T11:34:09Z
289.21,EUR,CH20VJTV795014556168,DE08JPED58683390198179,CH,DE,2025-05-19T10:47:27Z
2347.63,AUD,BG33QSTL997877293430,AT15AOUZ3966055830,BG,AT,2025-09-03T19:46:27Z
827.91,CZK,HU39JQRK1556990235,PT43VPPZ2727857608,HU,PT,2025-02-22T16:33:21Z
2835.54,CZK,AT68AGSV51240568299629,PL14ZYJW04617357438421,AT,PL,2026-03-08T05:15:11Z
565.43,HUF,GB56QAZP357845218230,BE58MWQD4091570184,GB,BE,2025-03-13T22:15:57Z
936.44,HUF,NL41GGJI71422410988138,PL44RKIE93214958702070,NL,PL,2025-06-12T23:48:25Z
226.14,EUR,FR22WTSU9545381792171747,US60HHET56255770171577,FR,US,2025-11-01T09:51:28Z
1072.64,HUF,IT16QDMW5814876963,AT79HRFP1539669583219719,IT,AT,2026-03-23T08:46:45Z
2025.70,CAD,CZ22JMCT9657013290,AU96EVEO69973354946519,CZ,AU,2025-12-12T19:25:55Z
1295.61,SEK,NL37BLRB8514036965,CZ91MMMN272386562422,NL,CZ,2025-04-10T01:48:37Z
40.58,PLN,NL84NECE7969278687653269,DE00SPXH68950097519712,NL,DE,2026-01-14T00:46:13Z
1820.09,NOK,SE78CHPU8949058077,LU65PSXK5442094940792904,SE,LU,2026-02-11T12:04:39Z
1658.81,JPY,CZ64CZII944401929275,NL22IZWH2805129276637239,CZ,NL,2025-04-09T12:07:15Z
768.66,PLN,GB06FOMP78366742860476,BE86KQVB8569454414,GB,BE,2025-04-01T02:17:30Z
1546.60,AUD,HU93VSYG25800106181753,PL92JIGB9109391119,HU,PL,2025-07-07T19:25:19Z
3609.30,PLN,ES23DWFI71746542140665,US07IIFO7396271286,ES,US,2026-03-16T16:17:14Z
281.82,PLN,PT91IDBC9470720064,CZ19WKMS8776618306,PT,CZ,2025-12-09T23:40:46Z
2094.95,USD,BG42VJMB5851743280,NO49VGJW1571732030937618,BG,NO,2025-10-06T18:43:21Z
1909.60,NOK,HU02BKBK6138782931,AT04XEPU7903202041,HU,AT,2025-12-15T23:41:40Z
4510.87,GBP,AU13DPTZ136565198253,CZ97BSFK1426258273,AU,CZ,2025-02-19T16:15:22Z
264.31,GBP,PL78MYFA1002194672324876,BE30FTWB791456083318,PL,BE,2026-05-07T00:57:42Z
4965.53,CAD,FR64HOYU403127722005,CZ36GNIK0108220781137995,FR,CZ,2026-02-24T05:09:45Z
2825.12,CZK,CA29YDKH3636317970,PT55EGTO652735435209,CA,PT,2025-09-10T23:12:27Z
295.45,GBP,BE58NFYK492929831687,LU27SPOI6335693929,BE,LU,2025-12-28T14:11:17Z
103.21,EUR,NL93YQBN7177318063254310,CA61VJFW9907726257016580,NL,CA,2026-01-01T13:36:03Z
787.06,HUF,AT69SZGZ9508501657,CA79BLLF8325381793,AT,CA,2026-04-21T17:51:02Z
5706.32,CAD,IE87NIBC57788178847951,CH24OCCM411241272380,IE,CH,2026-01-27T03:09:00Z
1950.13,PLN,AT60LNOX4310385695,CA83UZKP7492424375402547,AT,CA,2025-04-13T13:10:06Z
439.24,BGN,IT36FFWW231059274523,CZ71WBVK25782841067275,IT,CZ,2026-02-20T19:01:34Z
1975.95,CZK,ES42UWJP92975170281406,NL79HOLC09398343018718,ES,NL,2026-01-30T02:47:23Z
956.93,NOK,US65BVLM656504554781,PT27XOXN4266299123478519,US,PT,2026-04-15T23:28:05Z
1317.80,EUR,US53FROW326487049478,DE94OHAZ2447146273,US,DE,2025-08-01T07:13:09Z
812.62,HUF,NL76XLSP4715890429025725,FR20BILN04481832192855,NL,FR,2025-02-21T19:50:27Z
2892.48,JPY,RO12RSLE2845765213,AT19QHGZ6711207545,RO,AT,2025-10-09T13:54:45Z
10972.47,BGN,ES97KFWJ1322342321,AU54WYZD0760310890,ES,AU,2026-02-11T07:41:03Z
730.27,BGN,NO38VAYD9393250124,FR74LLFQ891190833428,NO,FR,2025-02-21T10:56:25Z
603.05,BGN,NL90PLWS712566383615,FR15ODQE5480157164794738,NL,FR,2026-01-27T14:52:51Z
1397.37,RON,CA60VLFA1678112669121535,AT25TMDH7499465796784271,CA,AT,2025-02-24T01:36:31Z
1720.27,NOK,FR17ADXB7026952499,LU12YCVY7347784858800616,FR,LU,2026-05-04T01:41:05Z
1181.36,RON,AU04BFRV27624671978897,CH60RFQB4796954500902559,AU,CH,2025-12-24T00:36:48Z
1198.40,CAD,NL44LNLB334911415208,HU41BOVN4079056965917135,NL,HU,2025-11-29T13:15:38Z
3620.40,HUF,NO21TJLN718344049639,SE95CWSD41987635148468,NO,SE,2025-09-21T17:28:25Z
1287.67,AUD,CH65OVYR082973748969,PT93UBQG72324665136442,CH,PT,2026-05-01T10:10:15Z
674.39,DKK,LU14EGAH77866032420448,RO22UBXP0159416516,LU,RO,2025-07-05T05:39:11Z
2116.59,USD,ES15QVSY71391559636321,IE22GION90785158673425,ES,IE,2026-01-24T13:18:30Z
4307.03,CAD,NO82TBXV3486451837,BG49AMIJ3432756041,NO,BG,2025-01-17T08:51:06Z
1332.66,CZK,NO91NDFW81569857002720,NO51GUJK1238296577,NO,NO,2025-09-16T10:23:29Z
2908.61,GBP,ES36GCNL669300893173,LU33WFBM9421529108677133,ES,LU,2025-09-12T10:32:30Z
3431.42,JPY,PT16NGTG36262044397359,LU87UOCA2563669411800537,PT,LU,2025-10-24T18:21:59Z
8545.07,PLN,GB90XZBA89646528092428,CZ63KOEC86241502745644,GB,CZ,2026-04-10T15:51:14Z
939.59,SEK,CZ40XPYE0320320742761707,LU45WRPO1215134228499390,CZ,LU,2025-05-09T03:31:16Z
1347.43,GBP,SE31YPVD04165915201777,PL80ITVA09759230450189,SE,PL,2025-03-01T16:19:00Z
737.48,AUD,US98MCAG664214764925,DE85DLQG7674996165926610,US,DE,2025-07-06T11:25:04Z
2821.93,NOK,SE63QUUQ4761742243,CH66NJSB0818661794,SE,CH,2025-05-01T10:42:31Z
214.27,DKK,GB02DXVO260164597794,LU43ZFGF9416800610,GB,LU,2026-01-27T00:53:13Z
1542.22,NOK,IT84XTXP99564122031030,HU26PUEU683147276012,IT,HU,2025-11-11T15:27:16Z
8302.36,NOK,ES02OSHG96050166799840,BG62MPQS3080695814671795,ES,BG,2026-01-02T05:11:44Z
53.57,AUD,AU92GPLO839597246657,BG20TGJW7223297167,AU,BG,2025-08-12T16:54:36Z
2035.51,CHF,AT45ILVF801561931837,IE33KZLY8428910771,AT,IE,2025-01-15T01:58:43Z
3810.94,DKK,FR71BQDF3524787125,CZ42EDGO0375482145653286,FR,CZ,2025-03-21T02:57:28Z
1401.14,HUF,IE58QZVL7208115562,ES55BMYB908466845504,IE,ES,2025-11-14T22:04:43Z
398.08,BGN,SE57UGRT5634108562884318,CZ70JQKY008943468105,SE,CZ,2025-11-10T17:57:05Z
1095.22,SEK,LU96UDOJ7539989354,HU36VZWS683158935712,LU,HU,2025-02-07T01:48:18Z
1328.80,RON,BG07NEPG1586988649767762,CA18QEPW2881377028519611,BG,CA,2025-03-13T15:38:19Z
103.79,JPY,GB15LJLJ70229604432701,PL70LCBN9497567922877725,GB,PL,2025-04-30T01:48:11Z
2443.69,PLN,DE29MKRB4120948181398909,CZ66GYPQ1820433971,DE,CZ,2025-10-28T18:35:09Z
1285.57,CAD,DK62AKNF0856411182422412,CZ39NVFB20046152654610,DK,CZ,2025-02-04T22:33:21Z
2273.08,HUF,PT63QYQM4057861706,IE81HAIR3824967183,PT,IE,2025-07-03T16:30:50Z
10552.25,SEK,ES68NROB7942007494,GB87MLUG02891416128463,ES,GB,2025-07-10T10:08:28Z
958.93,HUF,CZ81IYWO35537950209700,SE86FNRW6811807156956201,CZ,SE,2025-09-24T03:11:02Z
537.05,BGN,AU28XAYI31943375047930,GB25UMDI2839992192124938,AU,GB,2025-01-08T06:32:40Z
2833.84,RON,LU78IVRO6056641877,PT46QYBX046875063519,LU,PT,2026-02-18T22:44:59Z
1379.34,CZK,NL31GFKJ1076095431,IE60HKBK199717911006,NL,IE,2025-02-27T19:40:08Z
3816.57,USD,CH56BJTU1108046619639907,BG49OZNT5078593110,CH,BG,2025-02-18T03:48:19Z
2247.66,USD,CZ73EUQI67972320024968,BG83YLJS274954508920,CZ,BG,2025-05-31T09:14:11Z
4508.18,RON,IE54LGGU153779599594,SE53KFDO7303379337,IE,SE,2025-02-12T09:57:13Z
1279.37,CHF,CH46ACLA2473950033,US36FHIX583230241026,CH,US,2025-01-06T05:22:13Z
6877.64,CAD,HU58HLZL896112233865,FR40TNUH9938425304,HU,FR,2025-08-25T22:57:40Z
5426.26,DKK,ES93CZPZ2868578725,SE91LQWP7496903337363466,ES,SE,2025-06-12T12:28:15Z
4620.74,BGN,PL70CEYC78539078956776,IT52LZPK60273415148881,PL,IT,2025-07-17T16:46:08Z
316.57,USD,LU04RGKG44439284044566,IE74YUAP633373898775,LU,IE,2025-10-07T19:18:08Z
521.16,RON,DE26OORA29240755366684,CH41SASZ2259999663,DE,CH,2025-11-21T10:15:58Z
1222.17,SEK,US13KSOU12182097023164,DE26HJVQ7058025662,US,DE,2026-01-04T18:29:49Z
1355.99,SEK,FR49GEGJ7299493874302716,ES77ZHQK7790147546926329,FR,ES,2025-02-23T09:50:06Z
6044.11,AUD,CA89SDMW3248413768,AU15LCYD67243807017656,CA,AU,2025-05-23T11:38:59Z
27.99,EUR,PT90EKVX7711837274220912,US37DRXM104275230837,PT,US,2025-03-31T01:50:26Z
2519.21,RON,BG82VWVD4709006335331060,BE01KGVV3122068155,BG,BE,2026-02-11T03:05:11Z
2450.90,CHF,DK50NDHG5520650637,HU28CVIU01364971892419,DK,HU,2026-02-25T18:04:09Z
1230.87,CZK,CH42FUYW71509976838903,HU02TYDJ639102574326,CH,HU,2025-04-14T06:01:17Z
680.73,EUR,PT56XKEI08640355338033,HU77MQKF0171302321298338,PT,HU,2026-04-10T12:55:46Z
1574.43,CZK,DE92GHNF449734715662,CA60ONQT2706614982824674,DE,CA,2025-05-08T12:08:31Z
2065.65,AUD,AU09KEWP230085766656,AT62JUSC0169236458750663,AU,AT,2026-01-09T11:35:17Z
6361.64,EUR,IE80WVAW497243992011,NO82WMMW8362644886,IE,NO,2025-10-08T17:15:02Z
1326.91,CZK,PL13USYZ24364027011686,AT83JXNF522372817932,PL,AT,2025-03-11T00:43:15Z
505.46,CZK,PT33NOUT2141614150,BE74HPPV0040901380,PT,BE,2025-05-30T00:59:33Z
10838.26,SEK,US62PYKT5555356690551076,CZ92EATD35797863050505,US,CZ,2025-07-26T11:32:18Z
2334.36,CHF,RO94TZCL7164932898027148,AU59FODP332116025643,RO,AU,2025-11-07T19:37:11Z
7566.68,NOK,LU85ERUX1539915668633414,RO11DCKX195256904098,LU,RO,2025-04-06T14:42:54Z
963.84,AUD,PT86ZEQV160875243772,US76JEXV9548149737,PT,US,2025-10-11T12:32:15Z
152.53,AUD,AT19WGXZ027642086567,BG44YMMC43861259047292,AT,BG,2025-09-16T18:15:52Z
861.04,NOK,AU26GZXG5912662015,BG60FBDQ96263013674926,AU,BG,2025-04-23T11:41:39Z
